GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
04012,0.058412862792711566,0.0681676991071904,0.009754836314478828,Arizona,La Paz County,5129,2236,7460,2893,0.6875335120643432,0.2997319034852547,0.3878016085790885
04013,0.04018476065436408,0.07299856168048041,0.032813801026116335,Arizona,Maricopa County,995665,1040774,2069475,-45109,0.4811196076299545,0.5029169233742857,-0.021797315744331247
04015,0.05668880860669043,0.09900713828394508,0.04231832967725466,Arizona,Mohave County,78535,24831,104705,53704,0.7500596915142543,0.23715199847189725,0.5129076930423571
04017,0.07335856300673718,0.10144915552064167,0.028090592513904486,Arizona,Navajo County,27657,23383,51783,4274,0.5340942007994902,0.45155746094278043,0.08253673985670978
04019,0.04426619405545239,0.07622820412947719,0.0319620100740248,Arizona,Pima County,207758,304981,520735,-97223,0.39897068566545363,0.5856740952691868,-0.18670340960373316
04021,0.04891930983044458,0.07560422876903579,0.026684918938591207,Arizona,Pinal County,107077,75106,185037,31971,0.57867885882283,0.40589719893859066,0.17278165988423932
04023,0.08518512231144007,0.11568690317325525,0.03050178086181518,Arizona,Santa Cruz County,6194,13138,19561,-6944,0.3166504779919227,0.6716425540616533,-0.3549920760697306
04025,0.04437059913719503,0.07275283812597245,0.028382238988777425,Arizona,Yavapai County,91527,49602,143280,41925,0.6387981574539363,0.3461892797319933,0.292608877721943
04027,0.16415738713250916,0.17218352311942253,0.008026135986913374,Arizona,Yuma County,36534,32210,69926,4324,0.5224666075565598,0.4606298086548637,0.06183679890169613
05001,0.03034803440563644,0.04415328414351852,0.013805249737882077,Arkansas,Arkansas County,4304,1818,6292,2486,0.684043229497775,0.28893833439287986,0.3951048951048951
05003,0.053870967741935484,0.0966183574879227,0.04274738974598722,Arkansas,Ashley County,5548,2125,7926,3423,0.6999747665909665,0.2681049709815796,0.4318697956093869
05005,0.039878492820030274,0.06502369273821475,0.025145199918184473,Arkansas,Baxter County,15836,4635,21007,11201,0.7538439567763127,0.22064073880135193,0.5332032179749607
05007,0.026242541109305965,0.04864158061710702,0.022399039507801057,Arkansas,Benton County,73965,42249,119912,31716,0.6168273400493696,0.3523333778103943,0.26449396223897526
